#  digitised from Fig. 2, J. Biotechnol. 2002;93:73-85. doi:10.1016/S0168-1656(01)00385-6
251.8515752664041, 0.1998660514259306
259.2850799565792, 0.19527520450029667
266.7253892617626, 0.20216147488874747
274.80093444760985, 0.2115213660877867
281.6035009087053, 0.21170560402361804
287.5490153653701, 0.18512701655942165
290.35865284023913, 0.1558502997617388
294.6051074561715, 0.13480891801925
301.8406408261194, 0.13837286497467627
309.27844316787866, 0.14103072372109593
314.5769987053916, 0.10818603290928008
321.00686327076653, 0.08311356540138815
328.170704649537, 0.07977916079224356
335.60972465924516, 0.08449081947907833
343.0519679076415, 0.09463900741995324
350.66222754627495, 0.1031194896739176
358.5323372794149, 0.11391345793342711
365.3766821906708, 0.12168415840002544
372.8129612537019, 0.12177275369157248
379.6535868003147, 0.12327012579345997
387.0240512672017, 0.11943485936413323
394.69051621259695, 0.11474901094244605
401.03855731672274, 0.10793327575398326
407.9495151854946, 0.09391413685274785
415.37771943871576, 0.0803832195982479
422.80520741667294, 0.06564418473173905
430.2371363012671, 0.05839547905968545
437.67364934755113, 0.05887872610448919
445.3943286876137, 0.06356353773327905
452.45881429011234, 0.07454151892739125
459.4757549419138, 0.09129609058883337
468.0835444348051, 0.11153584461356592
474.3713856269827, 0.1303889973631669
479.3150101907194, 0.1703577787526126
483.1122897823663, 0.2002284867095332
487.0651264544804, 0.2333309092785777
490.52619718131734, 0.2662400330297008
493.0391618109311, 0.2915112815698879
498.45283442449556, 0.3332518240267316
501.6855120289189, 0.3560756586586844
503.73609581061135, 0.37581025985085026
507.1679647598875, 0.3999303279746085
510.6034358087878, 0.44148957382771525
512.5299297589415, 0.4774914786655813
515.8073904845951, 0.5116812070854337
517.8038645280452, 0.5516940623951694
519.4088225121727, 0.585537463766246
522.0552128957538, 0.6149215687961075
523.4273018329288, 0.648735438403335
526.606183185716, 0.68941544310548
529.768741421097, 0.737115953486299
534.2005458524629, 0.7807197060674211
537.2711915847426, 0.81426097477758
544.0625432566871, 0.837556993106241
550.8587831246828, 0.8325522110116206
558.918878352493, 0.8103713393239365
567.3896647960647, 0.7838274886245367
569.3272573618933, 0.7216419804058181
570.8615010705789, 0.6488830972225805
571.02534733181, 0.6809039668818266
571.1816897569418, 0.6188239804475967
572.3663954003205, 0.589967228343612
573.0874577707053, 0.5550828322968544
573.881860759167, 0.46969912006812364
573.9345845875607, 0.5111174188664963
575.2987069520768, 0.4364758857378783
576.2561664230203, 0.39806982685211467
576.9629327349965, 0.3612437173322781
577.9874252244554, 0.31554331277578496
578.5095233806637, 0.2731124963597287
580.5072368361333, 0.24228608107759386
582.4292272055643, 0.2059066394859752
582.7924503919573, 0.16698799355625904
585.763631814709, 0.1288287358398058
588.4185330383375, 0.10068442519061138
593.1722577636854, 0.08227574542569482
600.6038934301992, 0.0745324785915189
608.3219312209894, 0.07476187711427551
615.1975133328962, 0.07932611668774014
624.2656477100115, 0.0762756197174177
631.9761072658727, 0.06372306199335687
639.121589074233, 0.04842587199598247
652.047792500369, 0.03438615505036147
661.1158806225935, 0.03125764149749344
669.3792996829075, 0.026517199487679166
676.2887038030883, 0.024782259560857334
683.1458658555505, 0.025426127495183692
691.1641457517148, 0.029823497535674592
697.5011494073798, 0.02866068433411595
