# water absorption in visible/near-IR. digitised from doi:10.1038/ismej.2007.59, fig 2
400.95441031170435, 0.0063966710951373525
406.7181740006029, 0.005874660781095382
409.2233949475045, 0.00502255598511482
415.15400223632616, 0.004983442004811532
421.3575082596633, 0.004779300975803535
427.45931981236504, 0.004937425525227113
433.7878139249378, 0.005403520572970125
439.5339110984125, 0.006558842659284649
444.9922574993409, 0.00794012393810543
451.0267386958318, 0.009567235277040302
457.3591906238413, 0.009836212962382986
463.69090375963594, 0.010231387921986452
470.02135039449087, 0.010857361794364227
476.3483141517614, 0.01217286140066771
482.6757528468843, 0.013545806598592502
489.0020305828124, 0.015352411421338459
495.32466712853864, 0.01842944811123593
500.7828046447635, 0.022384351261630905
506.23974162363913, 0.027708153096903762
509.68177455271643, 0.03401460184098431
514.8542699325083, 0.03985569897935868
521.1851387343431, 0.04201320487553616
527.5170629536277, 0.04355572545872498
533.847773442845, 0.04602841549873846
540.1782728485724, 0.04880383906757807
546.5056060019504, 0.054398856920747925
552.8335724057981, 0.06003216367051834
559.164757832868, 0.06296636109844303
565.4950989259778, 0.06693017313965982
571.8221682249932, 0.07491464426919388
577.8583486435784, 0.08787716298463383
583.0285643216786, 0.10674086084049209
587.9103009891921, 0.13080605247269814
592.7915055504081, 0.1616490284858892
596.8095369502939, 0.19793594028313283
601.6905348255926, 0.2454070057063194
608.0195038760178, 0.2665673987319141
614.3521141166448, 0.2733777164281347
620.6843021902919, 0.2822367520900811
627.0160680969591, 0.29333129314471046
633.3476756910086, 0.30562481896576915
639.6791777433134, 0.3189645631821582
646.0099937742757, 0.33651127085981053
652.3388045120834, 0.36644186392384537
658.6657154984814, 0.41118309198659386
664.9958982789738, 0.4381612754705313
671.3282974361108, 0.450855381644762
677.6600105719056, 0.46896873054335225
683.9907738319953, 0.49517973403119725
690.6860977211512, 0.5156909252074511
696.9064132115666, 0.5975520193821797
702.9716651038068, 0.6978594507386782
708.7192633154323, 0.8272318554872062
713.6016449602764, 1.0034654501379725
718.4839621073872, 1.218483898170284
724.2290918148664, 1.5017690329437723
730.5525726945525, 1.7788942070286689
736.8776367004133, 2.0551483838546667
743.2040727489589, 2.323429623301463
749.5326724032766, 2.538529294061511
755.8649132477962, 2.618610087846626
762.1998981776853, 2.5866998892636253
768.5372577968365, 2.4611630300911074
774.875197895585, 2.320357770898093
781.2127158273536, 2.202236213922232
787.5500754465047, 2.095358018040576
793.887223982166, 2.000321325372924
800.2241086634647, 1.9175658079081712
806.5594102185887, 1.8847541249051354
812.8883264981414, 2.04897461098459
819.2136543583647, 2.3573314730683044
825.5378212593932, 2.762258179823593
831.8671597059256, 2.9829897845309343
838.1936485253439, 3.369584155477308
844.5187125312048, 3.8928652440543234
850.8458873719651, 4.350012944770942
857.176650632055, 4.5931383325456485
863.5073611212722, 4.85389411809794
869.8364884843149, 5.259264157003187
876.1665129521898, 5.618354264668284
882.4997564432867, 5.704579440182246
888.8303086198866, 6.043517677759198
895.1593832120566, 6.553695815319193
901.4905158682539, 6.8797503087204275
907.8217012953237, 7.21601247930292
913.2822728680421, 8.434154776027333
917.5889339267912, 10.212164838354534
921.31920638721, 12.473118080453647
925.337600586844, 15.185854636212083
929.933112439541, 18.118576585660893
934.5273182131436, 22.068021175470207
939.1210160670985, 27.094741072236594
944.0023496237807, 33.415339005622414
949.7496370736014, 39.804826956167375
956.0801364793288, 42.20498028950906
962.4123773238484, 43.536384394703155
968.743879376153, 45.43663658592582
975.0783365973173, 45.258416464098616
981.415432362106, 43.241691919203134
987.7515254803172, 41.973979590726024
994.0899932877908, 39.2443143852326
1000.4294109709692, 36.14606269259698
1006.7685120289125, 33.45923686942873
1013.1082991081983, 30.63851437638262
1019.4499331680211, 27.24937063989438
1025.7936252918712, 23.460386475901156
1032.138583916661, 19.798428424469048
1038.483648083196, 16.680254756038135
1044.826601414831, 14.529361345211164
1051.1669162028415, 13.19411379480843
1057.5052256976976, 12.366938921418587
1063.8401050858417, 12.236607164113154
1070.1726625555962, 12.559689199136026
1076.5044284622634, 13.053402319136534
1082.836985932018, 13.398050122949932
1089.1688046095576, 13.91312324384312
1095.4962433046803, 15.482348023213572
1100.6673892578756, 18.531626253779876
1104.3978275696081, 22.575307448627736
1107.8395878491774, 27.83304820076861
1111.2812513821473, 34.36775506285445
1115.0102937786573, 42.79979610795231
1119.8906925789083, 53.568718442293964
1125.9276751147554, 62.04706554638222
1132.2583856039726, 65.56952233875026
1138.5908375319823, 67.41297426994998
1144.9208619998572, 72.01577258278743
1149.4443434962782, 73.1073869331635
